id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG001003_arochukwu-i,Arochukwu I,Arochukwu I,arochukwu-i,NG001003_arochukwu-i,5.519,7.869
NG001003_arochukwu-ii,Arochukwu Ii,Arochukwu Ii,arochukwu-ii,NG001003_arochukwu-ii,5.519,7.869
NG001003_arochukwu-iii,Arochukwu Iii,Arochukwu Iii,arochukwu-iii,NG001003_arochukwu-iii,5.519,7.869
NG001003_eleoha-ihechiowa,Eleoha Ihechiowa,Eleoha Ihechiowa,eleoha-ihechiowa,NG001003_eleoha-ihechiowa,5.519,7.869
NG001003_ikwun-ihechiowa,Ikwun Ihechiowa,Ikwun Ihechiowa,ikwun-ihechiowa,NG001003_ikwun-ihechiowa,5.519,7.869
NG001003_isu,Isu,Isu,isu,NG001003_isu,5.519,7.869
NG001003_ohaeke,Ohaeke,Ohaeke,ohaeke,NG001003_ohaeke,5.519,7.869
NG001003_ohafor-i,Ohafor I,Ohafor I,ohafor-i,NG001003_ohafor-i,5.519,7.869
NG001003_ohafor-ii,Ohafor Ii,Ohafor Ii,ohafor-ii,NG001003_ohafor-ii,5.519,7.869
NG001003_ovukwu,Ovukwu,Ovukwu,ovukwu,NG001003_ovukwu,5.519,7.869
NG001003_ututu,Ututu,Ututu,ututu,NG001003_ututu,5.519,7.869
