id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG012007_ekperi-i,Ekperi I,Ekperi I,ekperi-i,NG012007_ekperi-i,6.976,6.516
NG012007_ekperi-ii,Ekperi Ii,Ekperi Ii,ekperi-ii,NG012007_ekperi-ii,6.976,6.516
NG012007_ekperi-iii,Ekperi Iii,Ekperi Iii,ekperi-iii,NG012007_ekperi-iii,6.976,6.516
NG012007_fugar-i,Fugar I,Fugar I,fugar-i,NG012007_fugar-i,6.976,6.516
NG012007_fugar-ii,Fugar Ii,Fugar Ii,fugar-ii,NG012007_fugar-ii,6.976,6.516
NG012007_fugar-iii,Fugar Iii,Fugar Iii,fugar-iii,NG012007_fugar-iii,6.976,6.516
NG012007_iraokhor,Iraokhor,Iraokhor,iraokhor,NG012007_iraokhor,6.976,6.516
NG012007_ogbona,Ogbona,Ogbona,ogbona,NG012007_ogbona,6.976,6.516
NG012007_south-uneme-i,South Uneme I,South Uneme I,south-uneme-i,NG012007_south-uneme-i,6.976,6.516
NG012007_south-uneme-ii,South Uneme Ii,South Uneme Ii,south-uneme-ii,NG012007_south-uneme-ii,6.976,6.516
