id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG014006_agba-umana,Agba Umana,Agba Umana,agba-umana,NG014006_agba-umana,6.417,7.238
NG014006_aguobu-umumba,Aguobu (umumba),Aguobu (umumba),aguobu-umumba,NG014006_aguobu-umumba,6.417,7.238
NG014006_aguobu-owa-1,Aguobu-owa 1,Aguobu-owa 1,aguobu-owa-1,NG014006_aguobu-owa-1,6.417,7.238
NG014006_aguobu-owa-11,Aguobu-owa 11,Aguobu-owa 11,aguobu-owa-11,NG014006_aguobu-owa-11,6.417,7.238
NG014006_awha,Awha,Awha,awha,NG014006_awha,6.417,7.238
NG014006_imezi-owa-i,Imezi Owa I,Imezi Owa I,imezi-owa-i,NG014006_imezi-owa-i,6.417,7.238
NG014006_imezi-owa-ii,Imezi Owa Ii,Imezi Owa Ii,imezi-owa-ii,NG014006_imezi-owa-ii,6.417,7.238
NG014006_iwollo,Iwollo,Iwollo,iwollo,NG014006_iwollo,6.417,7.238
NG014006_mgbagbu-owa-i,Mgbagbu Owa I,Mgbagbu Owa I,mgbagbu-owa-i,NG014006_mgbagbu-owa-i,6.417,7.238
NG014006_mgbagbu-owa-ii,Mgbagbu Owa Ii,Mgbagbu Owa Ii,mgbagbu-owa-ii,NG014006_mgbagbu-owa-ii,6.417,7.238
NG014006_mgbagbu-owa-iii,Mgbagbu Owa Iii,Mgbagbu Owa Iii,mgbagbu-owa-iii,NG014006_mgbagbu-owa-iii,6.417,7.238
NG014006_obeleagu-umana,Obeleagu Umana,Obeleagu Umana,obeleagu-umana,NG014006_obeleagu-umana,6.417,7.238
NG014006_obinofia,Obinofia,Obinofia,obinofia,NG014006_obinofia,6.417,7.238
NG014006_oghe-i,Oghe I,Oghe I,oghe-i,NG014006_oghe-i,6.417,7.238
NG014006_oghe-ii,Oghe Ii,Oghe Ii,oghe-ii,NG014006_oghe-ii,6.417,7.238
NG014006_okpogho,Okpogho,Okpogho,okpogho,NG014006_okpogho,6.417,7.238
NG014006_oloamagu-umulokpa-i,Olo/amagu Umulokpa I,Olo/amagu Umulokpa I,oloamagu-umulokpa-i,NG014006_oloamagu-umulokpa-i,6.417,7.238
NG014006_oloamagu-umulokpa-ii,Olo/amagu-umulokpa Ii,Olo/amagu-umulokpa Ii,oloamagu-umulokpa-ii,NG014006_oloamagu-umulokpa-ii,6.417,7.238
NG014006_umana-ndiagu,Umana Ndiagu,Umana Ndiagu,umana-ndiagu,NG014006_umana-ndiagu,6.417,7.238
NG014006_umumba-ndiumo,Umumba Ndiumo,Umumba Ndiumo,umumba-ndiumo,NG014006_umumba-ndiumo,6.417,7.238
