id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG016007_awak,Awak,Awak,awak,NG016007_awak,9.841,11.432
NG016007_bule-kaltin,Bule / Kaltin,Bule / Kaltin,bule-kaltin,NG016007_bule-kaltin,9.841,11.432
NG016007_kaltungo-east,Kaltungo East,Kaltungo East,kaltungo-east,NG016007_kaltungo-east,9.841,11.432
NG016007_kaltungo-west,Kaltungo West,Kaltungo West,kaltungo-west,NG016007_kaltungo-west,9.841,11.432
NG016007_kamo,Kamo,Kamo,kamo,NG016007_kamo,9.841,11.432
NG016007_tula---yiri,Tula - Yiri,Tula - Yiri,tula---yiri,NG016007_tula---yiri,9.841,11.432
NG016007_tula-baule,Tula Baule,Tula Baule,tula-baule,NG016007_tula-baule,9.841,11.432
NG016007_tula-wange,Tula Wange,Tula Wange,tula-wange,NG016007_tula-wange,9.841,11.432
NG016007_tungo,Tungo,Tungo,tungo,NG016007_tungo,9.841,11.432
NG016007_ture,Ture,Ture,ture,NG016007_ture,9.841,11.432
