id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG017002_amuziihenworie,Amuzi/ihenworie,Amuzi/ihenworie,amuziihenworie,NG017002_amuziihenworie,5.563,7.264
NG017002_mpam,Mpam,Mpam,mpam,NG017002_mpam,5.563,7.264
NG017002_nnarambia,Nnarambia,Nnarambia,nnarambia,NG017002_nnarambia,5.563,7.264
NG017002_obohiaekwereazu,Obohia/ekwereazu,Obohia/ekwereazu,obohiaekwereazu,NG017002_obohiaekwereazu,5.563,7.264
NG017002_ogbe,Ogbe,Ogbe,ogbe,NG017002_ogbe,5.563,7.264
NG017002_ogborumueze,Ogbor/umueze,Ogbor/umueze,ogborumueze,NG017002_ogborumueze,5.563,7.264
NG017002_okirika-nweke,Okirika Nweke,Okirika Nweke,okirika-nweke,NG017002_okirika-nweke,5.563,7.264
NG017002_okirika-nwenkwo,Okirika Nwenkwo,Okirika Nwenkwo,okirika-nwenkwo,NG017002_okirika-nwenkwo,5.563,7.264
NG017002_oparanadim,Oparanadim,Oparanadim,oparanadim,NG017002_oparanadim,5.563,7.264
NG017002_oru-na-lude,Oru-na-lude,Oru-na-lude,oru-na-lude,NG017002_oru-na-lude,5.563,7.264
NG017002_otuluaguneze,Otulu/aguneze,Otulu/aguneze,otuluaguneze,NG017002_otuluaguneze,5.563,7.264
NG017002_umunumoumuchieze,Umunumo/umuchieze,Umunumo/umuchieze,umunumoumuchieze,NG017002_umunumoumuchieze,5.563,7.264
