id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG017009_amaraku,Amaraku,Amaraku,amaraku,NG017009_amaraku,5.681,7.197
NG017009_amauzari,Amauzari,Amauzari,amauzari,NG017009_amauzari,5.681,7.197
NG017009_ibeme,Ibeme,Ibeme,ibeme,NG017009_ibeme,5.681,7.197
NG017009_obollo,Obollo,Obollo,obollo,NG017009_obollo,5.681,7.197
NG017009_ogbor,Ogbor,Ogbor,ogbor,NG017009_ogbor,5.681,7.197
NG017009_osu-achara,Osu-achara,Osu-achara,osu-achara,NG017009_osu-achara,5.681,7.197
NG017009_osu-owerre-i,Osu-owerre I,Osu-owerre I,osu-owerre-i,NG017009_osu-owerre-i,5.681,7.197
NG017009_osu-owerre-ii,Osu-owerre Ii,Osu-owerre Ii,osu-owerre-ii,NG017009_osu-owerre-ii,5.681,7.197
NG017009_osuamaanara,Osuama/anara,Osuama/anara,osuamaanara,NG017009_osuamaanara,5.681,7.197
NG017009_ugirioka,Ugiri/oka,Ugiri/oka,ugirioka,NG017009_ugirioka,5.681,7.197
NG017009_umunkwo,Umunkwo,Umunkwo,umunkwo,NG017009_umunkwo,5.681,7.197
NG017009_umuozu,Umuozu,Umuozu,umuozu,NG017009_umuozu,5.681,7.197
