id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG017011_afaraeziama,Afara/eziama,Afara/eziama,afaraeziama,NG017011_afaraeziama,5.598,7.016
NG017011_amaike-mbieri,Amaike Mbieri,Amaike Mbieri,amaike-mbieri,NG017011_amaike-mbieri,5.598,7.016
NG017011_ezinihitie-mbieri,Ezinihitie Mbieri,Ezinihitie Mbieri,ezinihitie-mbieri,NG017011_ezinihitie-mbieri,5.598,7.016
NG017011_ifakala,Ifakala,Ifakala,ifakala,NG017011_ifakala,5.598,7.016
NG017011_ogbaku,Ogbaku,Ogbaku,ogbaku,NG017011_ogbaku,5.598,7.016
NG017011_ogwa-i,Ogwa I,Ogwa I,ogwa-i,NG017011_ogwa-i,5.598,7.016
NG017011_ogwa-ii,Ogwa Ii,Ogwa Ii,ogwa-ii,NG017011_ogwa-ii,5.598,7.016
NG017011_orodo-a,Orodo 'a',Orodo 'a',orodo-a,NG017011_orodo-a,5.598,7.016
NG017011_orodo-b,Orodo 'b',Orodo 'b',orodo-b,NG017011_orodo-b,5.598,7.016
NG017011_ubomiri,Ubomiri,Ubomiri,ubomiri,NG017011_ubomiri,5.598,7.016
NG017011_umunohaazara,Umunoha/azara,Umunoha/azara,umunohaazara,NG017011_umunohaazara,5.598,7.016
NG017011_umunwohambieriumuawu,Umunwoha/mbieri/umuawu,Umunwoha/mbieri/umuawu,umunwohambieriumuawu,NG017011_umunwohambieriumuawu,5.598,7.016
