id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG020033_butu-butu,Butu-butu,Butu-butu,butu-butu,NG020033_butu-butu,11.927,8.324
NG020033_dawakin-gulu,Dawakin Gulu,Dawakin Gulu,dawakin-gulu,NG020033_dawakin-gulu,11.927,8.324
NG020033_doka-dawa,Doka Dawa,Doka Dawa,doka-dawa,NG020033_doka-dawa,11.927,8.324
NG020033_dugurawa,Dugurawa,Dugurawa,dugurawa,NG020033_dugurawa,11.927,8.324
NG020033_gulu,Gulu,Gulu,gulu,NG020033_gulu,11.927,8.324
NG020033_jili,Jili,Jili,jili,NG020033_jili,11.927,8.324
NG020033_karofin-yashi,Karofin Yashi,Karofin Yashi,karofin-yashi,NG020033_karofin-yashi,11.927,8.324
NG020033_rimin-gado,Rimin Gado,Rimin Gado,rimin-gado,NG020033_rimin-gado,11.927,8.324
NG020033_sakaratsa,Sakaratsa,Sakaratsa,sakaratsa,NG020033_sakaratsa,11.927,8.324
NG020033_tamawa,Tamawa,Tamawa,tamawa,NG020033_tamawa,11.927,8.324
NG020033_yalwan-danziyal,Yalwan Danziyal,Yalwan Danziyal,yalwan-danziyal,NG020033_yalwan-danziyal,11.927,8.324
NG020033_zango-dan-abdu,Zango Dan Abdu,Zango Dan Abdu,zango-dan-abdu,NG020033_zango-dan-abdu,11.927,8.324
