id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG022004_augie-north,Augie North,Augie North,augie-north,NG022004_augie-north,12.942,4.554
NG022004_augie-south,Augie South,Augie South,augie-south,NG022004_augie-south,12.942,4.554
NG022004_bagayemera,Bagaye/mera,Bagaye/mera,bagayemera,NG022004_bagayemera,12.942,4.554
NG022004_bayawa-north,Bayawa North,Bayawa North,bayawa-north,NG022004_bayawa-north,12.942,4.554
NG022004_bayawa-south,Bayawa South,Bayawa South,bayawa-south,NG022004_bayawa-south,12.942,4.554
NG022004_birnin-tudugudale,Birnin Tudu/gudale,Birnin Tudu/gudale,birnin-tudugudale,NG022004_birnin-tudugudale,12.942,4.554
NG022004_bubuce,Bubuce,Bubuce,bubuce,NG022004_bubuce,12.942,4.554
NG022004_dundayekwaidozagiillela,Dundaye/kwaido/zagi/illela,Dundaye/kwaido/zagi/illela,dundayekwaidozagiillela,NG022004_dundayekwaidozagiillela,12.942,4.554
NG022004_tiggiawade,Tiggi/awade,Tiggi/awade,tiggiawade,NG022004_tiggiawade,12.942,4.554
NG022004_yola,Yola,Yola,yola,NG022004_yola,12.942,4.554
