id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG027011_arewa,Arewa,Arewa,arewa,NG027011_arewa,10.436,5.514
NG027011_central,Central,Central,central,NG027011_central,10.436,5.514
NG027011_gabas,Gabas,Gabas,gabas,NG027011_gabas,10.436,5.514
NG027011_kudu,Kudu,Kudu,kudu,NG027011_kudu,10.436,5.514
NG027011_madara,Madara,Madara,madara,NG027011_madara,10.436,5.514
NG027011_magajiya,Magajiya,Magajiya,magajiya,NG027011_magajiya,10.436,5.514
NG027011_masuga,Masuga,Masuga,masuga,NG027011_masuga,10.436,5.514
NG027011_nagwamatse,Nagwamatse,Nagwamatse,nagwamatse,NG027011_nagwamatse,10.436,5.514
NG027011_rafin-gora,Rafin Gora,Rafin Gora,rafin-gora,NG027011_rafin-gora,10.436,5.514
NG027011_tungan-kawo,Tungan Kawo,Tungan Kawo,tungan-kawo,NG027011_tungan-kawo,10.436,5.514
NG027011_tunganwawa,Tunganwawa,Tunganwawa,tunganwawa,NG027011_tunganwawa,10.436,5.514
NG027011_usalle,Usalle,Usalle,usalle,NG027011_usalle,10.436,5.514
NG027011_yamma,Yamma,Yamma,yamma,NG027011_yamma,10.436,5.514
