id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG030009_ara-i,Ara I,Ara I,ara-i,NG030009_ara-i,7.783,4.436
NG030009_ara-ii,Ara Ii,Ara Ii,ara-ii,NG030009_ara-ii,7.783,4.436
NG030009_awoabudo,Awo/abudo,Awo/abudo,awoabudo,NG030009_awoabudo,7.783,4.436
NG030009_ido-osun,Ido-osun,Ido-osun,ido-osun,NG030009_ido-osun,7.783,4.436
NG030009_ikotun,Ikotun,Ikotun,ikotun,NG030009_ikotun,7.783,4.436
NG030009_ira-gberi-i,Ira Gberi I,Ira Gberi I,ira-gberi-i,NG030009_ira-gberi-i,7.783,4.436
NG030009_ira-gberi-ii,Ira Gberi Ii,Ira Gberi Ii,ira-gberi-ii,NG030009_ira-gberi-ii,7.783,4.436
NG030009_iwoyeidooorigo,Iwoye/idoo/origo,Iwoye/idoo/origo,iwoyeidooorigo,NG030009_iwoyeidooorigo,7.783,4.436
NG030009_ojoaro,Ojo/aro,Ojo/aro,ojoaro,NG030009_ojoaro,7.783,4.436
NG030009_okinniolorunsogoofatedo,Okinni/olorunsogo/ofatedo,Okinni/olorunsogo/ofatedo,okinniolorunsogoofatedo,NG030009_okinniolorunsogoofatedo,7.783,4.436
