id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG031011_iberekodo-i-pataoju,Iberekodo I /(pataoju),Iberekodo I /(pataoju),iberekodo-i-pataoju,NG031011_iberekodo-i-pataoju,7.455,3.234
NG031011_iberekodoagbooroita-baale,Iberekodo/agbooro/ita Baale,Iberekodo/agbooro/ita Baale,iberekodoagbooroita-baale,NG031011_iberekodoagbooroita-baale,7.455,3.234
NG031011_idere-i-molete,Idere I (molete),Idere I (molete),idere-i-molete,NG031011_idere-i-molete,7.455,3.234
NG031011_idere-ii-ominigbooke---oba,Idere Ii (ominigbo/oke - Oba),Idere Ii (ominigbo/oke - Oba),idere-ii-ominigbooke---oba,NG031011_idere-ii-ominigbooke---oba,7.455,3.234
NG031011_idere-iii-kosoapa,Idere Iii (koso/apa),Idere Iii (koso/apa),idere-iii-kosoapa,NG031011_idere-iii-kosoapa,7.455,3.234
NG031011_idofin-isaganun,Idofin Isaganun,Idofin Isaganun,idofin-isaganun,NG031011_idofin-isaganun,7.455,3.234
NG031011_igbolepako,Igbole/pako,Igbole/pako,igbolepako,NG031011_igbolepako,7.455,3.234
NG031011_isale-oba,Isale-oba,Isale-oba,isale-oba,NG031011_isale-oba,7.455,3.234
NG031011_oke-odo,Oke-odo,Oke-odo,oke-odo,NG031011_oke-odo,7.455,3.234
NG031011_okeserin-i-ii,Okeserin I & Ii,Okeserin I & Ii,okeserin-i-ii,NG031011_okeserin-i-ii,7.455,3.234
