id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
NG034005_asara-arewa,Asara Arewa,Asara Arewa,asara-arewa,NG034005_asara-arewa,13.408,5.338
NG034005_asara-kudu,Asara Kudu,Asara Kudu,asara-kudu,NG034005_asara-kudu,13.408,5.338
NG034005_atakwanyo,Atakwanyo,Atakwanyo,atakwanyo,NG034005_atakwanyo,13.408,5.338
NG034005_chimmolakudu,Chimmola/kudu,Chimmola/kudu,chimmolakudu,NG034005_chimmolakudu,13.408,5.338
NG034005_chimola-arewa,Chimola Arewa,Chimola Arewa,chimola-arewa,NG034005_chimola-arewa,13.408,5.338
NG034005_gidan-kaya,Gidan Kaya,Gidan Kaya,gidan-kaya,NG034005_gidan-kaya,13.408,5.338
NG034005_gigane,Gigane,Gigane,gigane,NG034005_gigane,13.408,5.338
NG034005_gwadabawa,Gwadabawa,Gwadabawa,gwadabawa,NG034005_gwadabawa,13.408,5.338
NG034005_huchi,Huchi,Huchi,huchi,NG034005_huchi,13.408,5.338
NG034005_mammande,Mammande,Mammande,mammande,NG034005_mammande,13.408,5.338
NG034005_salame,Salame,Salame,salame,NG034005_salame,13.408,5.338
